sample_id,candidate_rank,review_status,execution_label,error_type,severity,reviewer_confidence,annotator,review_notes
E_ID9_Es3,5,reviewed,correct,,,medium,codex_preliminary_v1,"Normal final return to rest; no independent trunk error is visible."
NE_ID10_Es3,1,reviewed,correct,,,high,codex_preliminary_v1,"Right upper arm remains near shoulder level (about 89 deg)."
NE_ID10_Es3,2,reviewed,correct,,,high,codex_preliminary_v1,"Left upper arm remains near shoulder level (about 89 deg)."
NE_ID10_Es3,3,reviewed,correct,,,medium,codex_preliminary_v1,"Right upper-arm elevation is acceptable; elbow flexion is a different component."
NE_ID10_Es3,4,reviewed,correct,,,medium,codex_preliminary_v1,"Left upper arm matches the reference elevation closely."
NE_ID10_Es3,5,reviewed,error,posture,severe,high,codex_preliminary_v1,"Right elbow is severely flexed (median about 59 deg) rather than extended."
NE_ID20_Es3,1,reviewed,error,direction,severe,high,codex_preliminary_v1,"Right arm is raised overhead instead of being held horizontally at shoulder level."
NE_ID20_Es3,2,reviewed,error,range_of_motion,severe,high,codex_preliminary_v1,"Right arm has dropped beside the body during the exercise interval."
NE_ID20_Es3,3,reviewed,error,range_of_motion,severe,high,codex_preliminary_v1,"Left arm has dropped beside the body during the exercise interval."
NE_ID20_Es3,4,reviewed,error,direction,severe,high,codex_preliminary_v1,"Left forearm points overhead with the whole arm far outside the shoulder-level plane."
NE_ID20_Es3,5,reviewed,error,direction,severe,high,codex_preliminary_v1,"Left upper arm is raised overhead (about 22 deg to torso) instead of horizontal."
NE_ID24_Es3,1,reviewed,correct,,,high,codex_preliminary_v1,"Right elbow is extended (about 163 deg) and the forearm posture is visibly acceptable."
NE_ID24_Es3,2,reviewed,correct,,,high,codex_preliminary_v1,"Right upper arm is held close to shoulder level (about 89 deg)."
NE_ID24_Es3,3,reviewed,correct,,,high,codex_preliminary_v1,"Right upper-arm posture is stable and shoulder-level."
NE_ID24_Es3,4,reviewed,correct,,,medium,codex_preliminary_v1,"Right upper arm remains in the exercise plane; the DTW peak reflects phase/reference differences."
NE_ID24_Es3,5,reviewed,correct,,,high,codex_preliminary_v1,"Right elbow is extended (about 171 deg); no lower-arm error is visible."
NE_ID6_Es3,1,reviewed,error,range_of_motion,severe,high,codex_preliminary_v1,"Left arm remains hanging beside the body instead of being raised to shoulder level."
NE_ID6_Es3,2,reviewed,error,range_of_motion,severe,high,codex_preliminary_v1,"Left upper arm stays nearly vertical/down (about 19 deg to torso)."
NE_ID6_Es3,3,reviewed,error,range_of_motion,severe,high,codex_preliminary_v1,"Right arm remains hanging beside the body rather than in the exercise plane."
NE_ID6_Es3,4,reviewed,error,range_of_motion,severe,high,codex_preliminary_v1,"Right upper arm stays nearly vertical/down (about 18 deg to torso)."
NE_ID6_Es3,5,reviewed,error,range_of_motion,severe,high,codex_preliminary_v1,"Right arm is still down later in the recording, confirming a persistent range error."
P_ID12_Es3,1,reviewed,correct,,,medium,codex_preliminary_v1,"Right upper arm is reasonably close to shoulder level (about 79 deg)."
P_ID12_Es3,2,reviewed,error,posture,moderate,high,codex_preliminary_v1,"Left elbow is clearly flexed (median about 123 deg) rather than extended."
P_ID12_Es3,3,adjudication_needed,uncertain,,,low,codex_preliminary_v1,"Right upper arm is about 74 deg; this is borderline between acceptable variation and a mild low-arm error."
P_ID12_Es3,4,reviewed,error,posture,moderate,high,codex_preliminary_v1,"Left upper arm is visibly too low (about 51 deg to torso)."
P_ID12_Es3,5,reviewed,correct,,,medium,codex_preliminary_v1,"Torso rotation is visible without a clear compensatory lean or wrong direction."
P_ID4_Es3,1,reviewed,error,range_of_motion,severe,high,codex_preliminary_v1,"Right upper arm stays low; overview confirms the arms never reach shoulder level."
P_ID4_Es3,2,reviewed,error,range_of_motion,severe,high,codex_preliminary_v1,"Left upper arm stays low; this is persistent beyond the setup boundary."
P_ID4_Es3,3,reviewed,error,range_of_motion,severe,high,codex_preliminary_v1,"Left forearm remains low with the whole arm outside the exercise plane."
P_ID4_Es3,4,reviewed,error,range_of_motion,severe,high,codex_preliminary_v1,"Right forearm remains low with the whole arm outside the exercise plane."
P_ID4_Es3,5,reviewed,error,range_of_motion,severe,high,codex_preliminary_v1,"Left arm is still below shoulder level after setup, confirming a persistent range error."
P_ID5_Es3,1,reviewed,error,posture,severe,high,codex_preliminary_v1,"Right elbow is strongly flexed (median about 65 deg)."
P_ID5_Es3,2,reviewed,error,posture,moderate,high,codex_preliminary_v1,"Right upper arm is visibly too low (about 57 deg to torso)."
P_ID5_Es3,3,reviewed,error,posture,moderate,medium,codex_preliminary_v1,"Left elbow remains flexed (median about 140 deg) instead of straight."
P_ID5_Es3,4,reviewed,error,posture,moderate,high,codex_preliminary_v1,"Right upper arm remains too low (about 56 deg to torso)."
P_ID5_Es3,5,reviewed,error,posture,moderate,high,codex_preliminary_v1,"Left upper arm is too low (about 61 deg to torso)."
P_ID6_Es3,1,reviewed,correct,,,medium,codex_preliminary_v1,"Left upper arm is already near shoulder level; the reference is still transitioning from rest."
P_ID6_Es3,2,reviewed,correct,,,medium,codex_preliminary_v1,"Right upper arm is already near shoulder level; no persistent error is visible."
P_ID6_Es3,3,reviewed,correct,,,medium,codex_preliminary_v1,"Normal torso rotation is visible late in the exercise."
P_ID6_Es3,4,reviewed,correct,,,high,codex_preliminary_v1,"Right elbow remains acceptably extended (median about 152 deg)."
P_ID6_Es3,5,reviewed,correct,,,medium,codex_preliminary_v1,"Normal torso rotation is visible without clear compensation."
S_ID10_Es3,1,adjudication_needed,uncertain,,,low,codex_preliminary_v1,"This is an endpoint interval; stills do not establish whether trunk-rotation range was insufficient or simply returning to rest."
S_ID10_Es3,2,reviewed,error,range_of_motion,severe,high,codex_preliminary_v1,"Left arm remains near waist level rather than shoulder level during the exercise."
S_ID10_Es3,3,reviewed,error,range_of_motion,severe,high,codex_preliminary_v1,"Right upper arm is far too low (about 28 deg to torso)."
S_ID10_Es3,4,reviewed,error,range_of_motion,severe,high,codex_preliminary_v1,"Right upper arm remains down (about 35 deg to torso)."
S_ID10_Es3,5,reviewed,error,range_of_motion,severe,high,codex_preliminary_v1,"Right upper arm remains down (about 27 deg to torso)."
S_ID3_Es3,1,reviewed,correct,,,medium,codex_preliminary_v1,"Only three retained setup frames are present; both sample and reference are at rest, so the peak is a boundary/QC artifact."
S_ID3_Es3,2,reviewed,correct,,,medium,codex_preliminary_v1,"Only three retained setup frames are present; right upper arm is at normal pre-exercise rest."
S_ID3_Es3,3,reviewed,correct,,,medium,codex_preliminary_v1,"Only three retained setup frames are present; left upper arm is at normal pre-exercise rest."
S_ID3_Es3,4,reviewed,correct,,,medium,codex_preliminary_v1,"Only three retained setup frames are present; left lower arm is at normal pre-exercise rest."
S_ID3_Es3,5,reviewed,correct,,,high,codex_preliminary_v1,"Right leg posture is stable; the three-frame boundary peak is not a visible leg error."
S_ID8_Es3,1,adjudication_needed,uncertain,,,low,codex_preliminary_v1,"Left upper arm is about 74 deg and mildly asymmetric; clinician review is needed to decide whether this is a true mild error."
S_ID8_Es3,2,reviewed,correct,,,medium,codex_preliminary_v1,"Left upper-arm elevation is close to the reference; elbow flexion belongs to the lower-arm component."
S_ID8_Es3,3,reviewed,correct,,,medium,codex_preliminary_v1,"Left upper arm remains near the intended plane; visible elbow flexion is a separate component."
S_ID8_Es3,4,reviewed,correct,,,high,codex_preliminary_v1,"Left upper arm is held near shoulder level (about 85 deg)."
S_ID8_Es3,5,reviewed,correct,,,high,codex_preliminary_v1,"Left upper arm is held near shoulder level (about 82 deg)."
S_ID9_Es3,1,reviewed,error,asymmetry,severe,high,codex_preliminary_v1,"Left elbow is extremely flexed (median about 21 deg) while the opposite arm follows a different posture."
S_ID9_Es3,2,reviewed,error,range_of_motion,severe,high,codex_preliminary_v1,"Right upper arm is down (about 29 deg to torso) rather than shoulder-level."
S_ID9_Es3,3,reviewed,error,asymmetry,severe,high,codex_preliminary_v1,"Left elbow is strongly flexed (median about 68 deg), producing marked bilateral asymmetry."
S_ID9_Es3,4,reviewed,error,asymmetry,severe,high,codex_preliminary_v1,"Left elbow remains substantially flexed (about 106 deg) while the right arm differs."
S_ID9_Es3,5,reviewed,correct,,,medium,codex_preliminary_v1,"Both arms are lowering at the final boundary; this is a normal completion transition."
